threshold,recall,caught,missed,false_alarm,precision
0.1,0.899,62,7,132,0.31958762886597936
0.15,0.783,54,15,97,0.3576158940397351
0.2,0.71,49,20,63,0.4375
0.25,0.652,45,24,49,0.4787234042553192
0.3,0.565,39,30,35,0.527027027027027
0.35,0.551,38,31,30,0.5588235294117647
0.4,0.493,34,35,23,0.5964912280701754
0.45,0.42,29,40,16,0.6444444444444445
0.5,0.333,23,46,10,0.696969696969697
0.55,0.275,19,50,9,0.6785714285714286
0.6,0.174,12,57,5,0.7058823529411765
0.65,0.13,9,60,2,0.8181818181818182
0.7,0.116,8,61,1,0.8888888888888888
0.75,0.043,3,66,0,1.0
0.8,0.0,0,69,0,
0.85,0.0,0,69,0,
0.9,0.0,0,69,0,
